v1881	vInt.Sym.Wikis
v758	vFECS
v759	vFLAIRSConference
v752	vESTImedia
v753	vEUROCAST
v750	vESORICS
v751	vPrivacyinLocation-BasedApplications
v756	vFCS
v757	vFCT
v754	vEuro-Par
v755	vEuroSSC
v1277	vWangTilesinComputerGraphics
v1276	vTheGeometryofWalkerManifolds
v1275	vSpokenDialogueSystems
v1274	vJordanCanonicalForm:TheoryandPractice
v1273	vAnIntroductiontoMultivariableMathematics
v1272	vIntroductiontoChineseNaturalLanguageProcessing
v1271	vJordanCanonicalForm:ApplicationtoDifferentialEquations
v1270	vInformationArchitecture:TheDesignandIntegrationofInformationSpaces
v1279	vModelingandDataMininginBlogosphere
v1278	vFacetedSearch
v1879	vFSMNLP
v1878	vANNPR
v1871	vWIRN
v1870	vWiOpt
v1873	vWOSP/SIPEW
v1872	vINAP/WLP
v1875	vWS-FM
v1874	vWinterSimulationConference
v1877	vPKAW
v1876	vWeavingServicesandPeopleontheWorldWideWeb
v2438	vANCS
v2439	vCOCOA()
v2430	vWEBIST()
v2431	vWER
v2432	vWOA
v2433	vWPES
v2434	vWSE
v2435	vCEFP
v2436	vIPAW
v2437	vNordiCHI
v1905	vLADS
v1904	vPPPJ
v1907	vGLOBECOM
v1906	vPSSE
v1901	vMoChArt
v1900	vECSA
v1903	vTbiLLC
v1902	vWAIFI
v1909	vICMB
v1908	vMobileResponse
v2324	vACL/AFNLP(ShortPapers)
v2325	vCompSysTech
v2326	vICIRA()
v2327	vSIMPAR
v2320	vVLSI-SoC
v2321	vACL(SystemDemonstrations)
v2322	vRCIS
v2323	vDMS
v2328	vACL/AFNLP(StudentResearchWorkshop)
v2329	vACL/AFNLP(SoftwareDemonstrations)
v248	vJASIST
v249	vJ.Complexity
v240	vIngénieriedesSystèmesd'Information
v241	vInf.Syst.J.
v242	vit-InformationTechnology
v243	vImageVisionComput.
v244	vJ.ACM
v245	vJ.Algorithms
v246	vJ.AppliedLogic
v247	vJ.Autom.Reasoning
v2210	vEuropeanandChineseCognitiveStylesandTheirImpactonTeachingMathematics
v2211	vAdvancesinMulti-ObjectiveNatureInspiredComputing
v2212	vNon-StandardParameterAdaptationforExploratoryDataAnalysis
v2213	vInductiveInferenceforLargeScaleTextClassification
v2214	vCognition-DrivenDecisionSupportforBusinessIntelligence
v2215	vSystem-ErgonomicDesignofCognitiveAutomation
v2216	vEmotionalIntelligence
v2217	vUncertaintyApproachesforSpatialDataModelingandProcessing
v2218	vVisualComplexityandIntelligentComputerGraphicsTechniquesEnhancements
v2219	vSmartInformationandKnowledgeManagement
v2108	vJ.MobileMultimedia
v2109	vJ.Symb.Log.
v2104	vTOCE
v2105	vJ.HighSpeedNetworks
v2106	vInt.J.ITStandardsandStandardizationRes.
v2107	vJournalofMachineLearningResearch
v2100	vInformatica(Slovenia)
v2101	vInformationVisualization
v2102	vJ.Braz.Comp.Soc.
v2103	vACMJournalofExperimentalAlgorithmics
v536	vOSS
v537	vCIDM
v534	vXP
v535	vQoSA
v532	vWILF
v533	vWWIC
v530	vWETICE
v531	vCIAA
v1711	vHaifaVerificationConference
v538	vREFSQ
v539	vAIMS
v1488	vISCID()
v1489	vICCMS
v1480	vICDIM
v1481	vICEGOV
v1482	vATMOS
v1483	vHOST
v1484	vCISIS
v1485	vMobilityConference
v1486	vICAART()
v1487	vMALLOW
v1318	vGCB
v1319	vICAPR
v1648	vNumericalValidationinCurrentHardwareArchitectures
v1649	vAlgorithmEngineering
v1310	vDALT
v1311	vDeLFI
v1312	vDEXAWorkshops
v1313	vDFN-ForumKommunikationstechnologien
v1314	vDFT
v1315	vDSD
v1316	vDS-RT
v1317	vEUROMICRO-SEAA
v1466	vMICRO
v1467	vNCA
v1464	vISPAN
v1465	vASE
v1462	vISMBS
v1463	vISORC
v1460	vICDCIT
v1461	vIPAS
v1468	vPanhellenicConferenceonInformatics
v1469	vQSIC
v1787	vMCBR-CDS
v1786	vMIAR
v402	vBusiness&InformationSystemsEngineering
v403	vEncyclopediaofOptimization
v400	vNaturalLanguageEngineering
v401	vJ.FieldRobotics
v406	vToolsandApplicationswithArtificialIntelligence
v407	vIntelligentAgentsintheEvolutionofWebandApplications
v404	vMiningComplexData
v405	vIntelligentTextCategorizationandClustering
v408	vInhibitoryRulesinDataAnalysis
v409	vInnovativeApplicationsinDataMining
v1004	vRV
v1005	vInfoscale
v1006	vICHIT
v1007	vDRR
v1000	vSIES
v1001	vGEM
v1002	vRecSys
v1003	vVOTE-ID
v1008	vMUM
v1009	vICIW
v1788	vSTACOM/CESC
v745	vERWorkshops
v744	vER
v747	vErlangWorkshop
v746	vECDL
v741	vEMMCVPR
v740	vEGOV
v743	vEPIA
v742	vEMSOFT
v749	vESAW
v748	vERSA
v446	vDILS
v915	vSecureDataManagement
v916	vSEC
v1260	viImage-BasedModelingofPlantsandTrees
v1261	vIntroductiontoLinguisticAnnotationandTextAnalytics
v1262	vExploratorySearch:BeyondtheQuery-ResponseParadigm
v1263	vIntroductiontoWebometrics:QuantitativeWebResearchfortheSocialSciences
v1264	vDependencyParsing
v1265	vXMLRetrieval
v1266	vUnderstandingUser-WebInteractionsviaWebAnalytics
v1267	vMarkovLogic:AnInterfaceLayerforArtificialIntelligence
v1268	vAGyrovectorSpaceApproachtoHyperbolicGeometry
v1269	vInformationTheoryToolsforComputerGraphics
v443	vDCOSS
v912	vSC-HPRCTA
v441	vDBSec
v1868	vWFLP
v1869	vSOAR
v1862	vWADT
v1863	vWAIM
v1860	vUTP
v1861	vVMV
v1866	vWBIR
v1867	vWEBIST(SelectedPapers)
v1864	vWAOA
v1865	vWAPCV
v1916	vCoNEXT
v1917	vAutonomics
v1914	vOZCHI
v1915	vBIOSTEC(SelectedPapers)
v1912	vWorldCongressonEngineering(SelectedPapers)
v1913	vElectronicVoting
v1910	vMontereyWorkshop
v1911	vMoMM
v1918	vSCSS()
v1919	vEIAT/IETA
v2351	vGraphsandCombinatorics
v2350	vElektrotechnikundInformationstechnik
v2353	vInternationalJournalofInternetandEnterpriseManagement
v2352	vIETSoftware
v2355	vJournalofInterconnectionNetworks
v2354	vJournalofAppliedNon-ClassicalLogics
v2357	vIPEC
v2356	vNewGenerationComput.
v2359	vEVOL/IWPSE
v2358	vProgrammingandComputerSoftware
v2597	vIJKDB
v2596	vIJITPM
v2595	vIJISSC
v2594	vIJHCR
v2593	vIJHCITP
v2592	vIJBIR
v2591	vIJDST
v2590	vWileyInterdisc.Rew.:DataMiningandKnowledgeDiscovery
v2599	vIJSDS
v2598	vIJORIS
v1321	vICEBE
v40	vEvoBIO
v904	vSAFECOMP
v1323	vICNC()
v2080	vArtificialLife
v259	vACMJournalofEducationalResourcesinComputing
v258	vJ.DatabaseManag.
v253	vJ.Comb.Optim.
v252	vJournalofComputationalNeuroscience
v251	vJournalofComputationalChemistry
v250	vJournalofComputer-AidedMolecularDesign
v257	vJ.Comb.Theory,Ser.B
v256	vJ.Comb.Theory,Ser.A
v255	vJ.Comput.Syst.Sci.
v254	vJournalofCircuits,Systems,andComputers
