p243752	v729
p19432	v445
p78398	v1232
p16962	v396
p199717	v2168
p120929	v1663
p60562	v181
p21453	v462
p270246	v220
p236667	v1175
p14273	v296
p178160	v1093
p216202	v1986
p6789	v111
p15061	v315
p258386	v1491
p45857	v819
p107866	v1526
p177980	v199
p32029	v600
p280993	v397
p93480	v1429
p277502	v2517
p127430	v790
p259243	v2458
p10833	v188
p241561	v2321
p4077	v69
p72312	v357
p35527	v653
p199709	v2168
p82820	v1315
p147500	v1883
p262634	v2486
p234141	v2363
p89488	v1397
p79157	v1234
p219836	v166
p152134	v1907
p273423	v296
p95085	v1325
p162553	v2008
p147768	v1885
p75145	v1225
p75082	v1224
p215860	v2329
p40751	v753
p158434	v1966
p9700	v183
p177518	v199
p155735	v1941
p56909	v1031
p69686	v1139
p172683	v187
p43702	v793
p3819	v65
p42089	v780
p197612	v1221
p189378	v332
p282463	v1195
p105748	v573
p172561	v187
p264203	v1579
p188098	v311
p72099	v1156
p6457	v107
p43957	v795
p258420	v2003
p209957	v2306
p11323	v188
p61534	v188
p118767	v437
p199237	v2164
p48814	v867
p272632	v278
p67093	v238
p71820	v343
p225380	v212
p45979	v820
p99943	v145
p194244	v1164
p118099	v1630
p220580	v1084
p189311	v1149
p155215	v1935
p102184	v159
p58356	v1062
p58284	v1060
p209047	v2296
p195180	v373
p196906	v391
p78334	v1232
p146723	v1874
p179879	v576
p123741	v1693
p19259	v441
p122069	v1681
p27156	v545
p10411	v188
p175282	v188
p187586	v302
p7423	v127
p79259	v1234
p53894	v985
p221412	v188
p87513	v1379
p184490	v1128
p201984	v641
p149348	v1886
p163470	v2014
p29294	v188
p126302	v467
p263257	v173
p98356	v1463
p246177	v59
p179608	v210
p108332	v1531
p248362	v804
p15394	v334
p21756	v462
p124437	v1697
p245455	v1717
p174675	v188
p93090	v1421
p102884	v177
p232869	v339
p216489	v1986
p33341	v615
p134689	v1760
p61507	v188
p197563	v2137
p153117	v1911
p184469	v1527
p125987	v1714
p190840	v342
p8438	v150
p264476	v1508
p217156	v1986
p254782	v1907
p119812	v719
p181955	v243
p215676	v550
p148894	v1887
p233020	v339
p28756	v177
p203742	v1309
p38089	v703
p194534	v370
p91182	v1413
p216025	v1075
p256967	v2446
p227682	v243
p23269	v480
