v3116	vTradingAgents
v3117	vManagingEventInformation
v5558	vHandbookofHumanComputation
v5559	vHandbookofMathematicalMethodsinImaging
v5552	vIWBBIO
v5553	vMOD
v5550	vAAAIWorkshop:Plan,Activity,andIntentRecognition
v5551	vPeerJPrePrints
v5556	vRecommenderSystemsHandbook
v5557	vHandbookofSemanticWebTechnologies
v5554	vHandbookofComputationalIntelligence
v5555	vHandbookonDataCenters
v4977	vMIM
v4976	vALIFE
v4975	vComplexAdaptiveSystems
v4974	vEvolvingSoftwareSystems
v4973	vRecommendationSystemsinSoftwareEngineering
v4972	vSituationAwarenesswithSystemsofSystems
v4971	vAdvancedWebServices
v4970	vExLing
v4979	vICIT
v4978	vEVA
v2325	vCompSysTech
v2326	vICIRA()
v2327	vSIMPAR
v2320	vVLSI-SoC
v2321	vACL(SystemDemonstrations)
v2322	vRCIS
v2323	vDMS
v4205	vSparseRepresentationsforRadarwithMATLABExamples
v4204	vActiveLearning
v4207	vEchtzeit
v4206	vMakingClaims
v4203	vGazingatGames:AnIntroductiontoEyeTrackingControl
v4202	vHCITheory
v4209	vSESENA
v4208	vGreeNets
v7100	vTragedyintheGulf:ACallforaNewEngineeringEthic
v7158	vHotMiddlebox@SIGCOMM
v5220	vIWOW
v5957	vPRUV
v7150	vImmersiveMultimodalInteractivePresence
v7151	vYearsofIntegerProgramming
v7152	vCollaborativeSoftwareEngineering
v7153	vNetCod
v7154	vHealthInformationGovernanceinaDigitalEnvironment
v5954	vSATToSE
v7156	vIJSI
v7157	vInternetware
v5955	vES
v5952	vSystemsandSoftwareVariabilityManagement
v5953	vResilienceAssessmentandEvaluationofComputingSystems
v5950	vDC@AI*IA
v5951	vNGEBISShortPapers
v5958	vARTEL@EC-TEL
v1278	vFacetedSearch
v6209	vAPSITT
v6208	vRACS
v6203	vVPA@SC
v6202	vVHPC@SC
v6201	vHUST@SC
v6200	vINDIS@SC
v6207	vCGVC
v6206	vMAD
v6205	vHotPower
v6204	vUltraVis@SC
v536	vOSS
v537	vCIDM
v534	vXP
v535	vQoSA
v532	vWILF
v533	vWWIC
v530	vWETICE
v531	vCIAA
v538	vREFSQ
v539	vAIMS
v5031	vFCA&A@ICFCA
v5030	vGPGPU@ASPLOS
v1006	vICHIT
v5032	vSNAFCA@ICFCA
v5035	vWISE()
v1001	vGEM
v5037	vVAAM
v1003	vVOTE-ID
v5039	vMobileHealth@MobiHoc
v5038	vMobileCloud
v1008	vMUM
v1009	vICIW
v4780	vBDAS
v4781	vLBSN@GIS
v4782	vLBSN@SIGSPATIAL/GIS
v4783	vATx/WInG@IJCAR
v4784	vConferenceonComputationalComplexity
v4785	vIGIC
v4786	vICE-GIC
v4787	vPrimeLife
v4788	vKIK@KI
v4789	vEMBC
v1425	vCONIELECOMP
v446	vDILS
v915	vSecureDataManagement
v916	vSEC
v5963	vITGSymposiumonSpeechCommunication
v5962	vEuCNC
v1262	vExploratorySearch:BeyondtheQuery-ResponseParadigm
v5960	vRITA
v5967	vPSIVTWorkshops
v5966	vEduHPC@SC
v5789	vDisplays
v5788	vKDIR/KMIS
v5787	vMOCO
v442	vDCC
v5785	vQRSCompanion
v5784	vIPaMin@Konvens
